location,area,new/resale,furnished,price
Mohali Sec 125,510,1,1,1690000
SEC 115 MOHALI KHARAR LANDRAN ROAD,510,1,1,1590000
Mohali Sector 127,555,1,1,1490000
Mohali Sector 127,510,1,1,1490000
Mohali Sector 127,900,1,1,1890000
Mohali Sector 127,910,1,1,1790000
Mohali Sector 127,570,1,1,2290000
Mohali Sector 127,600,1,1,1790000
Mohali Sector 127,550,1,1,1490000
Mohali Sector 127,1055,1,1,2290000
Mohali Sector 127,1350,1,1,3590000
IT Park Road,4500,0,0,35000000
IT Park Road,4500,0,1,32500000
IT Park Road,4500,0,0,30000000
Dhakoli,1200,0,0,4090000
Dhakoli,1125,0,0,3990000
Dhakoli,1800,0,0,4790000
Dhakoli,1125,0,0,4190000
Dhakoli,1125,0,0,3990000
Dhakoli,1200,0,0,4090000
Dhakoli,1125,0,0,4190000
Dhakoli,1800,0,0,4790000
Dhakoli,1125,0,0,3990000
Dhakoli,1200,0,0,4090000
Dhakoli,1125,0,0,4190000
Dhakoli,1800,0,0,4790000
Highland Marg,1368,1,0,3690000
Mohali Sector 127,930,1,0,2750000
SEC 115 MOHALI KHARAR LANDRAN ROAD,600,1,1,1890000
SEC 115 MOHALI KHARAR LANDRAN ROAD,495,1,1,1590000
Mohali Sector 127,930,1,0,2750000
DLF Mullanpur,2250,1,1,9390000
SEC 115 MOHALI KHARAR LANDRAN ROAD,675,1,1,1790000
Mohali Sector 127,900,1,1,2990000
Mohali Sector 127,675,1,1,1890000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1053,1,1,2890000
DLF Mullanpur,2385,1,0,8990000
Chandigarh Airport Area,540,1,1,1690000
Chandigarh Airport Area,810,1,1,2490000
SEC 115 MOHALI KHARAR LANDRAN ROAD,495,1,1,1590000
Mohali Sector 127,810,1,1,2490000
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1100,1,0,3200000
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1350,1,0,3900000
Togan,2385,1,0,8490000
Togan,2250,1,0,7890000
Mohali Sector 127,540,1,0,1690000
kharar landran road,970,1,1,2490000
sector 5 Mubarikpur road derabassi,1200,1,0,2475000
sector 5 Mubarikpur road derabassi,1320,1,0,2775000
Ambala Highway,1810,1,0,6500000
Gazipur Road,1000,1,0,2690000
Mohali Sector 127,540,1,1,1590000
sector 5 Mubarikpur road derabassi,1120,1,0,2475000
Ambala Highway,1739,1,0,6490000
